,Наименование сырья/материала,Производитель,Номер серии,Срок годности,Номера протоколов анализов,Серия препарата,Дата
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S18401050424,2024-04-05
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401050424,2024-04-05
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S18401050424,2024-04-05
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S18401050424,2024-04-05
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S18401050424,2024-04-05
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401050424,2024-04-05
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S18401050424,2024-04-05
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S18401050424,2024-04-05
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S18401050424,2024-04-05
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S18401050424,2024-04-05
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S18401050424,2024-04-05
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S18401050424,2024-04-05
15,"Вода, обогащенная кислородом-18",ЦМИ,2304M004,2025-04-01 00:00:00,–,S18401050424,2024-04-05
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S18401050424,2024-04-05
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S18401160424,2024-04-16
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S18401160424,2024-04-16
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S18401160424,2024-04-16
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S18401160424,2024-04-16
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401160424,2024-04-16
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S18401160424,2024-04-16
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S18401160424,2024-04-16
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S18401160424,2024-04-16
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401160424,2024-04-16
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S18401160424,2024-04-16
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S18401160424,2024-04-16
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S18401160424,2024-04-16
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S18401160424,2024-04-16
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S18401160424,2024-04-16
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S18401160424,2024-04-16
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S18401160424,2024-04-16
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S18401160424,2024-04-16
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S18401230424,2024-04-23
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S18401230424,2024-04-23
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S18401230424,2024-04-23
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S18401230424,2024-04-23
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401230424,2024-04-23
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S18401230424,2024-04-23
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S18401230424,2024-04-23
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S18401230424,2024-04-23
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401230424,2024-04-23
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S18401230424,2024-04-23
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S18401230424,2024-04-23
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S18401230424,2024-04-23
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S18401230424,2024-04-23
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S18401230424,2024-04-23
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S18401230424,2024-04-23
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S18401230424,2024-04-23
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401230424,2024-04-23
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S18401300424,2024-04-30
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S18401300424,2024-04-30
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S18401300424,2024-04-30
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S18401300424,2024-04-30
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401300424,2024-04-30
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S18401300424,2024-04-30
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S18401300424,2024-04-30
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S18401300424,2024-04-30
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401300424,2024-04-30
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S18401300424,2024-04-30
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S18401300424,2024-04-30
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S18401300424,2024-04-30
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S18401300424,2024-04-30
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S18401300424,2024-04-30
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S18401300424,2024-04-30
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S18401300424,2024-04-30
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401300424,2024-04-30
0,Дозирующий набор Clio,Comecer,FD00918,2027-10-01 00:00:00,CT-02618,S23301080424,2024-04-08
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-04-01 00:00:00,СТ-09195,S23301080424,2024-04-08
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S23301080424,2024-04-08
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S23301080424,2024-04-08
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S23301080424,2024-04-08
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S23301080424,2024-04-08
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S23301080424,2024-04-08
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S23301080424,2024-04-08
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S23301080424,2024-04-08
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S23301080424,2024-04-08
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S23301080424,2024-04-08
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S23301080424,2024-04-08
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S23301080424,2024-04-08
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S23301080424,2024-04-08
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S23301080424,2024-04-08
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S23301080424,2024-04-08
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S23301080424,2024-04-08
0,Дозирующий набор Clio,Comecer,FD00918,2027-10-01 00:00:00,CT-02618,S23301130424,2024-04-13
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-04-01 00:00:00,СТ-09195,S23301130424,2024-04-13
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S23301130424,2024-04-13
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S23301130424,2024-04-13
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S23301130424,2024-04-13
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S23301130424,2024-04-13
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S23301130424,2024-04-13
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S23301130424,2024-04-13
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S23301130424,2024-04-13
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S23301130424,2024-04-13
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S23301130424,2024-04-13
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S23301130424,2024-04-13
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S23301130424,2024-04-13
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S23301130424,2024-04-13
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S23301130424,2024-04-13
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S23301130424,2024-04-13
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S23301130424,2024-04-13
0,Дозирующий набор Clio,Comecer,FD00918,2027-10-01 00:00:00,CT-02618,S23801010424,2024-04-01
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-04-01 00:00:00,СТ-09195,S23801010424,2024-04-01
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S23801010424,2024-04-01
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S23801010424,2024-04-01
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S23801010424,2024-04-01
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S23801010424,2024-04-01
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S23801010424,2024-04-01
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S23801010424,2024-04-01
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S23801010424,2024-04-01
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S23801010424,2024-04-01
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S23801010424,2024-04-01
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S23801010424,2024-04-01
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S23801010424,2024-04-01
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S23801010424,2024-04-01
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S23801010424,2024-04-01
15,"Вода, обогащенная кислородом-18",ЦМИ,2304M004,2025-04-01 00:00:00,–,S23801010424,2024-04-01
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S23801010424,2024-04-01
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S23801200424,2024-04-20
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S23801200424,2024-04-20
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S23801200424,2024-04-20
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S23801200424,2024-04-20
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S23801200424,2024-04-20
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S23801200424,2024-04-20
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S23801200424,2024-04-20
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S23801200424,2024-04-20
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S23801200424,2024-04-20
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S23801200424,2024-04-20
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S23801200424,2024-04-20
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S23801200424,2024-04-20
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S23801200424,2024-04-20
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S23801200424,2024-04-20
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S23801200424,2024-04-20
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S23801200424,2024-04-20
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S23801200424,2024-04-20
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S23801270424,2024-04-27
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S23801270424,2024-04-27
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S23801270424,2024-04-27
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S23801270424,2024-04-27
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S23801270424,2024-04-27
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S23801270424,2024-04-27
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S23801270424,2024-04-27
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S23801270424,2024-04-27
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S23801270424,2024-04-27
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S23801270424,2024-04-27
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S23801270424,2024-04-27
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S23801270424,2024-04-27
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S23801270424,2024-04-27
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S23801270424,2024-04-27
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S23801270424,2024-04-27
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S23801270424,2024-04-27
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S23801270424,2024-04-27
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301010524,2024-05-01
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S16301010524,2024-05-01
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301010524,2024-05-01
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301010524,2024-05-01
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301010524,2024-05-01
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301010524,2024-05-01
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301010524,2024-05-01
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301010524,2024-05-01
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301010524,2024-05-01
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301010524,2024-05-01
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301010524,2024-05-01
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301010524,2024-05-01
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301010524,2024-05-01
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301010524,2024-05-01
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301010524,2024-05-01
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K002,2026-03-01 00:00:00,–,S16301010524,2024-05-01
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S16301010524,2024-05-01
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301020524,2024-05-02
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S16301020524,2024-05-02
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301020524,2024-05-02
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301020524,2024-05-02
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301020524,2024-05-02
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301020524,2024-05-02
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301020524,2024-05-02
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301020524,2024-05-02
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301020524,2024-05-02
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301020524,2024-05-02
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301020524,2024-05-02
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301020524,2024-05-02
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301020524,2024-05-02
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301020524,2024-05-02
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301020524,2024-05-02
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K002,2026-03-01 00:00:00,–,S16301020524,2024-05-02
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S16301020524,2024-05-02
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301030524,2024-05-03
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S16301030524,2024-05-03
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301030524,2024-05-03
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301030524,2024-05-03
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301030524,2024-05-03
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301030524,2024-05-03
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301030524,2024-05-03
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301030524,2024-05-03
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301030524,2024-05-03
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301030524,2024-05-03
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301030524,2024-05-03
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301030524,2024-05-03
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301030524,2024-05-03
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301030524,2024-05-03
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301030524,2024-05-03
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K002,2026-03-01 00:00:00,–,S16301030524,2024-05-03
16,Вода для промывки линий доставки,ООО «Гротекс»,380423,2026-03-01 00:00:00,"91-93, СТ-07843",S16301030524,2024-05-03
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301080524,2024-05-08
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S16301080524,2024-05-08
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301080524,2024-05-08
